PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP_REG,MIN_REG,FGA_REG,FGM_REG,FG_PCT_REG,FG3A_REG,FG3M_REG,FG3_PCT_REG,FTA_REG,FTM_REG,FT_PCT_REG,PTS_REG,AST_REG,TOV_REG,REB_REG,OREB_REG,DREB_REG,PLUS_MINUS_REG,TS_PCT_REG,EFG_PCT_REG,GP_CLU,MIN_CLU,FGA_CLU,FGM_CLU,FG_PCT_CLU,FG3A_CLU,FG3M_CLU,FG3_PCT_CLU,FTA_CLU,FTM_CLU,FT_PCT_CLU,PTS_CLU,AST_CLU,TOV_CLU,REB_CLU,OREB_CLU,DREB_CLU,PLUS_MINUS_CLU,TS_PCT_CLU,EFG_PCT_CLU,GP_PO,MIN_PO,FGA_PO,FGM_PO,FG_PCT_PO,FG3A_PO,FG3M_PO,FG3_PCT_PO,FTA_PO,FTM_PO,FT_PCT_PO,PTS_PO,AST_PO,TOV_PO,REB_PO,OREB_PO,DREB_PO,PLUS_MINUS_PO,TS_PCT_PO,EFG_PCT_PO,CLUTCH_SCORE,CLUTCH_SCORE_STD,SEASON
1630231,KJ Martin,1610612745,HOU,82.0,28.0,8.8,5.0,0.569,2.6,0.8,0.315,2.7,1.8,0.68,12.7,1.5,1.1,5.5,1.5,4.0,-4.5,0.6357629154985982,0.6136363636363636,36.0,2.3,0.5,0.3,0.474,0.1,0.1,0.5,0.4,0.3,0.563,0.8,0.0,0.2,0.6,0.2,0.5,-1.5,0.591715976331361,0.7,,,,,,,,,,,,,,,,,,,,,0.6120801075682792,-0.45291381521303364,2022-23
1630235,Trent Forrest,1610612737,ATL,23.0,12.0,2.6,1.1,0.417,0.1,0.0,0.0,0.1,0.1,0.667,2.3,1.7,0.7,1.6,0.2,1.4,-2.5,0.43494704992435695,0.4230769230769231,2.0,5.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,-7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.16421311919815842,-8.394136409936262,2022-23
1630237,Anthony Lamb,1610612744,GSW,62.0,19.3,5.1,2.4,0.471,3.2,1.2,0.367,1.0,0.7,0.767,6.7,1.5,0.9,3.5,0.9,2.6,0.5,0.6046931407942239,0.5882352941176471,14.0,2.3,0.5,0.2,0.429,0.4,0.1,0.333,0.0,0.0,0.0,0.6,0.2,0.1,0.5,0.1,0.4,0.7,0.6,0.5,6.0,5.2,0.8,0.3,0.4,0.7,0.2,0.25,0.0,0.0,0.0,0.8,0.0,0.3,1.0,0.2,0.8,-0.7,0.5,0.5,0.5605861116990757,-1.3659645514980774,2022-23
1630240,Saben Lee,1610612756,PHX,25.0,14.9,4.8,2.0,0.405,1.2,0.4,0.367,2.3,1.7,0.737,6.0,2.7,1.0,1.8,0.5,1.3,-1.2,0.516173434273916,0.45833333333333337,4.0,2.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.75,0.8,0.3,0.0,0.5,0.0,0.5,2.3,0.4255319148936171,0.0,,,,,,,,,,,,,,,,,,,,,0.46616242135154656,-3.0402106172636447,2022-23
1630241,Sam Merrill,1610612739,CLE,5.0,11.7,4.4,1.8,0.409,3.6,1.0,0.278,0.4,0.4,1.0,5.0,1.0,0.0,1.8,0.0,1.8,-1.0,0.5463286713286712,0.5227272727272726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5463286713286712,-1.6187661880384514,2022-23
1630243,Trevelin Queen,1610612755,PHI,7.0,10.0,4.1,1.0,0.241,2.1,0.3,0.133,0.7,0.7,1.0,3.0,0.9,1.0,2.4,1.1,1.3,2.0,0.3402903811252269,0.2804878048780488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3402903811252269,-5.272073906689884,2022-23
1630245,Ayo Dosunmu,1610612741,CHI,80.0,26.2,7.1,3.5,0.493,2.4,0.7,0.312,1.0,0.8,0.805,8.6,2.6,1.2,2.8,0.6,2.2,-1.0,0.5702917771883289,0.5422535211267606,24.0,2.6,0.6,0.3,0.5,0.2,0.0,0.0,0.2,0.1,0.75,0.7,0.1,0.0,0.5,0.1,0.4,-0.5,0.5087209302325582,0.5,,,,,,,,,,,,,,,,,,,,,0.5376952501086436,-1.771847172890114,2022-23
1630256,Jae'Sean Tate,1610612745,HOU,31.0,21.9,7.4,3.5,0.48,1.5,0.4,0.283,2.2,1.6,0.725,9.1,2.7,1.5,3.8,1.3,2.5,-3.0,0.5437380497131931,0.5,14.0,2.0,0.4,0.2,0.5,0.0,0.0,0.0,0.1,0.1,0.5,0.5,0.4,0.3,0.6,0.2,0.4,-0.7,0.5630630630630631,0.5,,,,,,,,,,,,,,,,,,,,,0.5620267973511146,-1.3404194549650637,2022-23
1630264,Anthony Gill,1610612764,WAS,59.0,10.6,2.2,1.2,0.538,0.5,0.1,0.138,1.1,0.8,0.731,3.3,0.6,0.3,1.7,0.6,1.1,-0.2,0.6147540983606556,0.5681818181818181,5.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,0.20491803278688522,-7.672389132505938,2022-23
1630270,Xavier Sneed,1610612766,CHA,4.0,12.1,2.5,1.3,0.5,1.5,0.8,0.5,1.0,1.0,1.0,4.3,1.3,0.8,1.3,0.0,1.3,-7.0,0.7312925170068028,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7312925170068028,1.6608661774803455,2022-23
